Date,Province,District,Rainfall_mm,Temp_Max_C,Temp_Min_C,Humidity_pct,Evapotranspiration_mm,WindSpeed_mps,SolarRadiation_Wm2,SoilMoisture_pct,NDVI,SPI,SPEI,PDSI,DroughtSeverity
16/04/2016,Lusaka,Lusaka,15.8,28,18.6,79.9,4.6,4.7,233.3,14.7,0.51,-0.97,-0.76,-1.07,Moderate
17/04/2016,Lusaka,Lusaka,30,26.8,15.6,80.2,5,4.9,221.8,39.5,0.5,-1.59,-1.5,-1.65,Severe
18/04/2016,Muchinga,Isoka,12.7,31,20.9,49.4,6.4,4.3,234.1,31.3,0.39,1.98,1.96,1.34,No drought
19/04/2016,Southern,Choma,15,31.6,24.9,47.1,4.4,2.8,254.9,29.5,0.49,1.5,1.41,1.62,No drought
20/04/2016,Luapula,Samfya,5.7,30.6,19.6,51.4,6.3,2.1,244.3,30.8,0.45,-1.5,-1.64,-1.35,Moderate
21/04/2016,Central,Serenje,11.3,29.3,20.4,45.5,4.8,2.8,266.5,26.4,0.41,-0.8,-0.82,-0.7,Moderate
22/04/2016,Luapula,Samfya,14.1,31.8,20.1,76.3,4.2,4.3,208.2,36.2,0.33,0.55,0.92,0.48,No drought
23/04/2016,Muchinga,Isoka,3.2,26.8,21.5,85.1,6.4,3.7,239.3,36.8,0.36,-0.16,-0.19,-0.14,No drought
24/04/2016,Copperbelt,Kafironda,16.3,31.5,22.5,65.9,4.7,2.3,223.5,33.2,0.48,-0.21,-0.02,0.27,No drought
25/04/2016,Northern,Mbala,6.8,27.5,17.9,87.5,5.4,4,230.6,29,0.32,-1.11,-1.37,-1.29,Moderate
26/04/2016,Southern,Magoye,2.2,29.8,22.8,50.3,5.1,1,180.8,16.6,0.31,-0.46,-0.61,-0.36,No drought
27/04/2016,Northern,Misamfu,9.8,27.7,20.3,65.4,6.5,3,250.2,39.8,0.34,-1.06,-1.36,-1.6,Severe
28/04/2016,Lusaka,Chongwe,5.6,30.4,25,70.2,5.7,1.5,218.4,23.7,0.41,-0.32,-0.52,-0.36,No drought
29/04/2016,Lusaka,Chongwe,3.1,34.2,29.1,71.8,6.7,3.5,267.4,31.7,0.34,-1.72,-1.7,-1.73,Severe
30/04/2016,Western,Senanga,9.4,26.9,16.8,72.6,6.4,3.8,223,30.2,0.38,1.5,1.37,1.92,No drought
01/05/2016,Luapula,Kawambwa,14.6,24.8,15.6,75.3,5.8,2.5,196.7,22.9,0.34,-0.46,-0.3,-0.07,No drought
02/05/2016,Eastern,Msekera,16.2,34.8,28.3,89.4,4.8,3.8,194.1,24.6,0.31,0.82,0.82,0.69,No drought
03/05/2016,Western,Senanga,6.8,34.8,23.5,45.8,6.8,2.3,268.8,28.1,0.55,-0.16,-0.07,-0.63,Moderate
04/05/2016,Luapula,Kawambwa,13.2,31.5,24.4,53,3.8,1.2,214.2,18.1,0.59,-2.97,-2.82,-3.29,Severe
05/05/2016,Luapula,Mansa,17.7,35.9,29.5,59.8,3.2,2.9,234.3,16.8,0.59,0.38,0.47,0.71,No drought
06/05/2016,North-Western,Kabompo,13,28.9,22.9,63.1,6.9,2.9,266.4,27.7,0.41,-1.36,-1.49,-1.54,Severe
07/05/2016,Western,Kaoma,8,30.9,20.5,68.7,6.8,1.8,190.9,35.6,0.43,0.89,0.3,1.09,No drought
08/05/2016,Luapula,Mansa,4.3,31.2,23.7,80.2,4.1,1.8,275.7,10.3,0.6,1.43,1.53,1.65,No drought
09/05/2016,Copperbelt,Kitwe,18.6,32.1,22.8,44.4,5,1.3,220.8,22.2,0.32,-1.19,-1.25,-1.76,Severe
10/05/2016,Southern,Livingstone,1.7,27.7,20.7,80.2,6.7,2.6,270.6,19.6,0.44,0.95,0.7,0.97,No drought
11/05/2016,Copperbelt,Kitwe,9.6,30.6,23.9,75.7,6.3,4.2,235.3,25.6,0.34,-0.74,-0.89,-0.47,Moderate
12/05/2016,Southern,Siavonga,8.2,30,24.7,53.8,5.8,1.3,263.9,10.1,0.37,-0.01,-0.18,0.33,No drought
13/05/2016,Southern,Livingstone,4.3,32.6,25,88.2,3.4,3.7,229.4,21.6,0.49,-0.21,-0.11,-0.45,No drought
14/05/2016,Eastern,Msekera,8.8,31.8,26.5,58,6.8,3,223.3,23.7,0.36,1.81,1.53,1.39,No drought
15/05/2016,Luapula,Kawambwa,6.4,32,22.7,54.8,3.5,3.6,253.9,19.5,0.49,-1.61,-1.3,-1.84,Severe
16/05/2016,Southern,Livingstone,7.4,32.2,27.1,59,4.3,1.1,192.4,22.4,0.45,-0.77,-0.61,-1.49,Moderate
17/05/2016,Copperbelt,Kafironda,8.4,32.1,23.5,88.8,3.5,1.1,257,34.2,0.34,1.08,1.28,0.86,No drought
18/05/2016,Muchinga,Mpika,10.1,30.5,20,62.9,4.6,2.2,186.6,16.8,0.37,0.37,0.7,0.34,No drought
19/05/2016,Eastern,Chipata,8.1,26.2,19.8,47,5.5,4.1,237.8,14.4,0.54,-0.92,-1.18,-0.45,Moderate
20/05/2016,Luapula,Mansa,15.1,29,23,40.4,5.5,2.8,193.4,38.7,0.46,0.23,0.23,-0.26,No drought
21/05/2016,Southern,Livingstone,9.9,25.7,20.4,82.2,6.9,4.2,265.4,17.3,0.59,-0.4,-0.39,-0.3,No drought
22/05/2016,Northern,Mbala,1.6,31.3,21,48.1,4.9,3.9,204.7,29.2,0.5,0.03,0.08,-0.33,No drought
23/05/2016,Central,Serenje,23,26.2,18.9,82.4,5.9,1.4,222.9,10.9,0.44,0.91,0.75,1.01,No drought
24/05/2016,Muchinga,Mpika,1.8,34.3,22.9,87.5,5.3,2.4,258.8,17.5,0.47,-0.9,-0.62,-1.27,Moderate
25/05/2016,Northern,Misamfu,5,28.8,17.1,69.1,4.7,3.3,231.7,32.8,0.38,1.03,1.19,0.94,No drought
26/05/2016,Luapula,Samfya,6,32.7,26.3,43.6,3.3,4.8,230.7,22.3,0.54,-0.63,-0.73,-0.34,Moderate
27/05/2016,North-Western,Solwezi,14.1,28.5,22.6,78.3,3,2.7,232.3,11.6,0.59,-0.12,-0.27,-0.43,No drought
28/05/2016,Northern,Misamfu,4.4,32,24,55.1,4.3,3.9,261.7,15.4,0.41,0.69,0.98,0.17,No drought
29/05/2016,Eastern,Msekera,9.9,32,24.9,75.7,6,1.4,231.4,25.3,0.41,-2.25,-2.03,-1.95,Severe
30/05/2016,Northern,Misamfu,7.9,28.3,21,88.9,6.4,3.8,252.7,26.9,0.58,-1.65,-2.13,-1.67,Severe
31/05/2016,Copperbelt,Kafironda,5.3,25.4,15.5,80.9,5.2,4.9,185.2,25.1,0.52,-0.54,-0.59,-0.46,Moderate
01/06/2016,North-Western,Kasempa,20.9,32.1,22.4,79.8,4,3.5,237.2,35,0.57,-0.59,-0.58,-0.78,Moderate
02/06/2016,Muchinga,Chinsali,3.1,28.4,18.6,56.6,3.2,2.5,274.4,29.3,0.5,-2.56,-2.8,-2.4,Severe
03/06/2016,Northern,Mbala,5.5,30.1,23.8,88.5,3.5,2.6,253.8,31.1,0.43,-1.14,-1.36,-1.64,Severe
04/06/2017,Copperbelt,Kitwe,4.7,27.8,22.3,87.6,4.2,1.4,239.9,28.7,0.49,0.27,0.51,0.57,No drought
05/06/2017,Central,Mkushi,15.9,31.7,25.3,69.4,5.8,3.7,220.8,10.5,0.47,0.51,0.44,0.02,No drought
06/06/2017,Central,Kabwe,12,29.9,24.3,77.4,6.7,2.7,205.9,23,0.52,-0.26,-0.26,-0.29,No drought
07/06/2017,Central,Serenje,19.7,27.6,20.7,52.4,3.3,2.8,253.3,28.2,0.5,-1.04,-0.96,-0.9,Moderate
08/06/2017,North-Western,Solwezi,9.7,32,22.9,66.9,4.1,2.5,269.5,30,0.54,-0.31,0.12,-0.54,Moderate
09/06/2017,North-Western,Zambezi,3.3,28.4,20.3,41.1,4.2,3,185.6,24.7,0.58,1.29,1.34,1.18,No drought
10/06/2017,Western,Mongu,3.3,32.4,21.7,74.3,3.4,2.2,211,17.5,0.45,0.51,0.08,0.67,No drought
11/06/2017,Copperbelt,Kafironda,5.7,30.3,18.7,83.8,3.4,2.6,235.3,25.1,0.36,-3.33,-3.25,-3.08,Severe
12/06/2017,Western,Sesheke,9.4,31.7,25.1,45.9,3.7,1,251.9,32,0.45,-1.38,-1.44,-1.25,Moderate
13/06/2017,Luapula,Mansa,6.6,25.9,19.4,88,5.5,3.2,221.6,22.9,0.46,-0.85,-0.63,-0.53,Moderate
14/06/2017,Luapula,Mansa,2.5,27.2,19.8,47.1,5.8,1.8,219.2,36.9,0.36,0.38,-0.16,0.46,No drought
15/06/2017,Western,Mongu,4.3,30.8,19.9,81.1,6.4,2.9,213.4,33.7,0.44,2.64,2.71,2.55,No drought
16/06/2017,Muchinga,Isoka,16.8,32.5,20.7,43.3,5.6,1.3,217.5,34.1,0.43,-3.37,-3.59,-3.58,Severe
17/06/2017,Copperbelt,Kafironda,2,32,23.6,40.3,6.2,4.1,234.8,12,0.53,-1.71,-1.43,-1.59,Severe
18/06/2017,Northern,Mbala,13,28.7,17.5,77.5,6.6,4,239.7,29.6,0.57,-0.72,-0.35,-0.39,Moderate
19/06/2017,Muchinga,Isoka,2.7,28.9,17.5,65.4,3.8,1.3,249.6,21.5,0.55,-2.11,-1.89,-1.93,Severe
20/06/2017,Northern,Kasama,3.1,31.8,25.3,69.8,4.1,3.6,261.5,33.3,0.53,-1.42,-1.61,-0.99,Moderate
21/06/2017,Lusaka,Mount Makulu,7.9,30.3,23,84.9,6.6,2.3,270.1,39.9,0.55,-0.4,-0.49,-0.21,No drought
22/06/2017,North-Western,Mwinilunga,9.2,26.9,21.7,58,6.1,3.3,211.3,29.6,0.37,-0.37,-0.1,-0.18,No drought
23/06/2017,Luapula,Mansa,6.3,34.7,27,51.4,5.4,4.7,272.9,20.3,0.46,0.94,1.12,0.76,No drought
24/06/2017,Luapula,Samfya,28.5,30,20.5,53.8,3.6,3.5,239.9,15.4,0.51,2.98,2.87,2.88,No drought
25/06/2017,Northern,Mbala,11.3,31.4,22.6,64.4,4.6,1.6,237.3,18.3,0.58,2.63,2.94,2.49,No drought
26/06/2017,Muchinga,Chinsali,3,31.9,20.7,49.8,5.9,2.1,260.3,39.9,0.31,0.38,0.54,0.37,No drought
27/06/2017,Lusaka,Chongwe,7.1,27.8,21.3,51.5,4.9,2.1,190.1,15,0.34,-0.09,0.01,0.17,No drought
28/06/2017,Lusaka,Mount Makulu,4.3,26.1,20.7,50.5,6.2,1.6,214.3,35.9,0.35,-0.05,-0.22,0.12,No drought
29/06/2017,Luapula,Mansa,10.8,27,18.6,44.1,4.8,2.2,262.2,11.7,0.43,2.61,2.55,3.16,No drought
30/06/2017,North-Western,Kabompo,6.7,32.5,24.1,77.1,5,2.9,263.8,20.8,0.56,-2.56,-2.74,-2.09,Severe
01/07/2017,North-Western,Mwinilunga,27.7,34.9,25.4,51.5,5.2,2.5,246.2,14.2,0.47,-0.88,-1.05,-1.06,Moderate
02/07/2017,Luapula,Samfya,3,30.7,20.1,58.4,3.3,3.2,264.5,33.9,0.35,-1.65,-1.51,-1.53,Severe
03/07/2017,Western,Senanga,12.3,33.7,27.6,62.9,4.4,1.4,228.6,37.6,0.31,-1.4,-1.53,-1.31,Moderate
04/07/2017,Muchinga,Mpika,5.5,28.4,17.6,48.5,3.1,1.8,214,25.3,0.48,2.08,2.08,2.35,No drought
05/07/2017,North-Western,Zambezi,8.3,29.9,23.2,42.5,5.9,1.4,240.8,18.4,0.35,-0.64,-0.4,-0.79,Moderate
06/07/2017,Copperbelt,Kafironda,5,29.5,24,41,6.3,3.1,257.5,17,0.4,1,1.1,1.06,No drought
07/07/2017,Southern,Magoye,2,27.3,20.3,88.2,3,3.9,250.6,28.7,0.6,1.43,1.21,1.05,No drought
08/07/2017,North-Western,Zambezi,4.2,31.9,26.5,44.6,3.7,3.4,195,39,0.43,-0.29,-0.62,-0.29,No drought
09/07/2017,Southern,Siavonga,6.2,27.2,19.4,84.2,6.6,4.6,211.4,30.7,0.38,2.62,2.52,2.47,No drought
10/07/2017,Lusaka,Lusaka,1.1,24.3,15.1,61.7,3.7,1.5,234.7,37.1,0.4,-0.1,0.07,0.28,No drought
11/07/2017,Central,Serenje,14.7,29.6,20.6,63.2,3.5,4.9,201.5,12,0.48,0.14,0.22,0.76,No drought
12/07/2017,Central,Kabwe,12.7,24.3,18.9,42.6,5.8,2.8,202.7,28.4,0.38,-1.29,-1.66,-0.98,Moderate
13/07/2017,Eastern,Msekera,11.5,25.4,14.5,51.1,4.5,4.2,262.4,21.5,0.44,-4.25,-4.17,-4.31,Severe
14/07/2017,Central,Serenje,28.4,30.2,20.2,43.4,4.7,1.5,241.3,38.2,0.5,0.67,0.63,0.48,No drought
15/07/2017,North-Western,Zambezi,18.1,29.1,21.2,73.8,5.6,1.3,219.5,15.5,0.35,-1.18,-1.42,-1.27,Moderate
16/07/2017,Lusaka,Chongwe,16.8,30.7,21.3,60.2,6,3.1,247.7,22.9,0.52,1.04,0.98,1.12,No drought
